iter	Passed	Remaining
0	132	132335
1	139	69848
2	147	49182
3	152	37988
4	158	31498
5	162	26910
6	166	23581
7	170	21116
8	174	19184
9	178	17631
10	181	16353
11	185	15282
12	189	14377
13	193	13614
14	196	12899
15	199	12287
16	246	14245
17	255	13950
18	260	13428
19	266	13055
20	275	12848
21	290	12898
22	302	12841
23	309	12591
24	330	12871
25	350	13142
26	363	13104
27	368	12802
28	373	12509
29	380	12286
30	387	12119
31	393	11913
32	402	11805
33	409	11643
34	416	11489
35	423	11347
36	427	11116
37	433	10974
38	438	10793
39	443	10644
40	450	10532
41	455	10399
42	458	10201
43	461	10034
44	466	9895
45	469	9738
46	473	9609
47	477	9465
48	481	9338
49	484	9205
50	488	9090
51	492	8970
52	495	8855
53	499	8743
54	504	8661
55	507	8548
56	509	8436
57	512	8331
58	517	8253
59	522	8179
60	525	8081
61	528	7988
62	533	7942
63	537	7858
64	540	7780
65	544	7702
66	548	7632
67	551	7555
68	554	7476
69	557	7404
70	561	7350
71	566	7302
72	569	7233
73	572	7167
74	577	7117
75	580	7060
76	584	7006
77	588	6955
78	594	6928
79	598	6879
80	602	6830
81	606	6791
82	610	6746
83	613	6693
84	616	6641
85	619	6587
86	624	6554
87	627	6506
88	631	6462
89	633	6408
90	638	6373
91	641	6334
92	646	6302
93	649	6264
94	653	6229
95	657	6192
96	660	6151
97	664	6111
98	667	6070
99	671	6040
100	674	6001
101	677	5961
102	685	5972
103	689	5937
104	692	5903
105	696	5876
106	700	5842
107	703	5809
108	706	5777
109	710	5747
110	713	5715
111	717	5692
112	721	5659
113	724	5628
114	730	5619
115	735	5603
116	739	5583
117	746	5583
118	751	5563
119	755	5543
120	763	5544
121	767	5524
122	773	5514
123	784	5543
124	790	5530
125	793	5506
126	796	5477
127	800	5450
128	803	5424
129	805	5393
130	808	5361
131	810	5330
132	813	5303
133	816	5277
134	819	5252
135	822	5224
136	824	5195
137	827	5166
138	830	5144
139	833	5120
140	836	5093
141	838	5065
142	840	5038
143	843	5011
144	846	4988
145	848	4963
146	851	4938
147	853	4912
148	855	4887
149	858	4862
150	861	4841
151	863	4820
152	866	4796
153	868	4772
154	870	4748
155	873	4724
156	876	4705
157	880	4691
158	883	4670
159	885	4648
160	887	4626
161	890	4604
162	893	4588
163	896	4571
164	899	4550
165	901	4529
166	904	4509
167	906	4490
168	909	4473
169	912	4456
170	915	4439
171	918	4422
172	921	4403
173	923	4386
174	926	4369
175	929	4350
176	931	4331
177	933	4312
178	936	4294
179	938	4276
180	941	4261
181	945	4248
